eval_context (category: retrieval|refusal|guard|edge|confidentiality|freshness|tone — use to filter eval runs),input (question sent to /api/support/query),output (blank — filled by eval runner after hitting the API),expected_answer (ideal answer key points — use for LLM-judge comparison e.g. GPT-4o scores 1-5),expected_citations (section_refs that MUST appear in citations[] — pipe-separated; use for programmatic citation check),expected_assertions (machine-checkable flags — semicolon-separated; use for pass/fail without LLM judge)
freshness,Can I get a refund 45 days after my annual purchase?,,Refunds require a request within 30 days of the annual purchase under the current policy (effective 2026-01-01). Day 45 falls outside the window so the request is denied by policy though an agent may exercise discretion in specific edge cases.,Refunds § Eligibility,must_cite=Refunds § Eligibility;must_contain=30 days|30-day;must_not_contain=14-day;should_refuse=false
freshness,What is the refund window for an annual subscription?,,The current refund policy (v3 effective 2026-01-01) provides a 30-day window from purchase or renewal for annual subscriptions with prorated refunds. The prior 14-day full-refund policy was superseded.,Refunds § Eligibility,must_cite=Refunds § Eligibility;must_contain=30-day|30 days|prorated;must_not_contain=14-day;should_refuse=false
freshness,Are refunds prorated or full?,,Annual refunds under the current policy are prorated based on unused full months. Monthly subscriptions are non-refundable.,Refunds § How refunds are calculated,must_cite=Refunds § How refunds are calculated;must_contain=prorated;should_refuse=false
freshness,Will I get a refund on a monthly subscription?,,No. Monthly subscriptions are non-refundable under the current policy. Cancellation stops future billing but does not refund the current period.,Refunds § Eligibility,must_cite=Refunds § Eligibility;must_contain=non-refundable|not refundable;should_refuse=false
retrieval,How do I downgrade my plan?,,Open Settings → Billing → Change plan and pick the lower tier. Downgrades take effect at the next renewal so you keep current-tier features until then. Seats must fit the lower tier.,Subscriptions § Downgrading,must_cite=Subscriptions § Downgrading;must_contain=next renewal|takes effect;should_refuse=false
retrieval,How do I upgrade mid-cycle?,,Upgrades happen immediately and are prorated against the remaining billing period. Open Settings → Billing → Change plan.,Subscriptions § Upgrading,must_cite=Subscriptions § Upgrading;must_contain=prorated|immediately;should_refuse=false
retrieval,How do I cancel my subscription?,,Open Settings → Billing → Cancel subscription. Access continues until the end of the current paid period after which the workspace transitions to a read-only state.,Subscriptions § Cancelling,must_cite=Subscriptions § Cancelling;must_contain=end of|paid period;should_refuse=false
retrieval,What plans does Acme Tasks offer?,,Four tiers — Free ($0 3 seats 1 project) Pro ($19/seat/mo) Business ($49/seat/mo with SSO and SLA) and Enterprise (custom pricing with SOC 2 and dedicated CSM).,Pricing § Tiers,must_cite=Pricing § Tiers;must_contain=Free|Pro|Business|Enterprise;should_refuse=false
retrieval,What's included in the Business tier?,,Business is $49/seat/mo with SSO (Google and SAML) audit log 99.9% SLA admin controls 1-year history and priority support. Up to 50 seats.,Pricing § Tiers,must_cite=Pricing § Tiers;must_contain=SSO|audit log|SLA;should_refuse=false
retrieval,Is SCIM provisioning available?,,SCIM provisioning is Enterprise-only. It is currently in beta in v4.2 and reaches general availability in Q4 2026.,Admin § SCIM provisioning,must_cite=Admin § SCIM provisioning;must_contain=Enterprise|SCIM;should_refuse=false
retrieval,How do I set up SAML SSO?,,Configure your identity provider (Okta Azure AD or Google) upload metadata to Acme Tasks then test both SP-initiated and IdP-initiated flows. Available on Business and Enterprise.,SSO § Configure your IdP|SSO § Configure Acme Tasks,must_cite=SSO § Configure your IdP;must_contain=SAML|SSO;should_refuse=false
retrieval,Do you support hardware security keys?,,Yes — WebAuthn hardware keys are supported for 2FA. SMS fallback is intentionally not supported.,2FA § Hardware keys,must_cite=2FA § Hardware keys;must_contain=WebAuthn|hardware;should_refuse=false
retrieval,How do I reset my password?,,Use Settings → Security → Reset password. The reset link is single-use and expires in 1 hour. If SSO is enforced on your account contact your admin instead.,Password § Reset via email,must_cite=Password § Reset via email;must_contain=1-hour|single-use|reset link;should_refuse=false
freshness,What is the SLA for the standard plan?,,The standard Service Level Agreement commits to 99.9% monthly uptime with a graduated credit ladder (5% / 10% / 25%).,SLA § Uptime commitment,must_cite=SLA § Uptime commitment;must_contain=99.9;should_refuse=false
freshness,What is the SLA for Enterprise?,,Enterprise customers receive a stricter 99.95% monthly uptime commitment per the Enterprise SLA Addendum which supersedes the standard SLA where they conflict. Enterprise also includes incident-response SLAs (P1 15-min ack 4-hr resolution).,Enterprise SLA § Enterprise uptime commitment|Enterprise SLA § Incident response,must_cite=Enterprise SLA § Enterprise uptime commitment;must_contain=99.95;should_refuse=false
retrieval,How is uptime measured?,,Uptime is measured at 1-minute intervals against api.acmetasks.com. A minute counts as downtime when two or more consecutive probes fail.,SLA § How we measure uptime,must_cite=SLA § How we measure uptime;must_contain=1-minute|api.acmetasks.com;should_refuse=false
retrieval,What is the API rate limit for the Pro tier?,,Pro tier has a rate limit of 300 requests per minute with a 2x burst allowance for 10 seconds.,API § Limits by plan,must_cite=API § Limits by plan;must_contain=300;should_refuse=false
retrieval,What's the API rate limit for Enterprise?,,Enterprise tier provides 5000 requests per minute with the same 2x burst allowance.,API § Limits by plan,must_cite=API § Limits by plan;must_contain=5000;should_refuse=false
retrieval,How do I export my data?,,Export options are CSV per project JSON via API and admin-only full-account archive (up to 24 hours emailed link kept 7 days). GDPR data requests are supported.,Data Export § CSV export|Data Export § Full archive,must_cite=Data Export § Full archive;must_contain=CSV|JSON|archive;should_refuse=false
retrieval,Are you SOC 2 certified?,,Yes — Acme Tasks holds SOC 2 Type II and ISO 27001. AES-256 at rest TLS 1.3 in transit. Annual third-party pen test. SOC 2 report available on request.,Security § Certifications,must_cite=Security § Certifications;must_contain=SOC 2;should_refuse=false
retrieval,Where is my data stored?,,Data residency is available in three regions — us-east eu-west and ap-south. The default region is set during workspace creation.,Security § Data residency,must_cite=Security § Data residency;must_contain=us-east|eu-west|ap-south;should_refuse=false
retrieval,What was added in v4.2?,,Acme Tasks v4.2 (May 12 2026) added SCIM provisioning beta for Enterprise a Figma integration and a 3x faster search.,v4.2 § Highlights,must_cite=v4.2 § Highlights;must_contain=SCIM|Figma|search;should_refuse=false
