eval_context (category: retrieval|refusal|guard|edge — use to filter eval runs),input (question sent to /api/french/query),output (blank — filled by eval runner after hitting the API),expected_answer (ideal answer key points — use for LLM-judge comparison e.g. GPT-4o scores 1-5),expected_citations (section_refs that MUST appear in citations[] — pipe-separated; use for programmatic citation check),expected_assertions (machine-checkable flags — semicolon-separated; use for pass/fail without LLM judge)
retrieval,How do you introduce yourself in French according to the CBSE Class 9 textbook?,,"To introduce yourself in French use 'se présenter'. CBSE 9 Leçon 1 teaches 'Je m'appelle…', 'J'ai … ans', 'J'habite à…', 'Je suis…' (nationality). Akanksha and Kunal are example characters.",EJ-9 §J'apprends à me présenter :,must_cite_doc_id=CBSE_9_ENTREJEUNES;must_contain=Je m'appelle|présent;should_refuse=false
retrieval,Comment saluer quelqu'un en français selon le manuel CBSE classe 9 ?,,"Selon CBSE 9 on salue avec 'Bonjour', 'Salut', 'Bonsoir' selon le moment ; 'Comment allez-vous ?' (formal) ou 'Ça va ?' (informal) ; 'Au revoir' pour partir.",EJ-9 §J'apprends à saluer :,must_cite_doc_id=CBSE_9_ENTREJEUNES;must_contain=Bonjour|Salut;should_refuse=false
retrieval,What are the IB DP French B prescribed themes?,,"Five prescribed themes — Identités, Expériences, Ingéniosité humaine, Organisation sociale, Partage de la planète — each split across two units (e.g. Unit 1 + Unit 6 for Identités).",IB-Identités §IB DP French B — Identités|IB-Expériences §IB DP French B — Expériences|IB-Ingéniosité §IB DP French B — Ingéniosité humaine|IB-OrgSoc §IB DP French B — Organisation sociale|IB-Planète §IB DP French B — Partage de la planète,must_cite_doc_id=IB_DP_OXFORD_IDENTITES;must_contain=Identités|Expériences|Ingéniosité;should_refuse=false
retrieval,Qu'est-ce que l'éco-citoyenneté selon le manuel IB DP French B ?,,L'éco-citoyenneté est exploré dans le thème 'Partage de la planète' (Unité 5A). Le manuel invite à comparer les définitions de 'citoyenneté' et 'éco-citoyenneté' dans Larousse/Robert et à élaborer une définition personnelle.,IB-Planète §5A PARTAGE DE LA PLANÈTE : QU'EST-CE QUE L'ÉCO-CITOYENNETÉ ? / Objectifs,must_cite_doc_id=IB_DP_OXFORD_PARTAGE;must_contain=éco-citoyen|environnement;should_refuse=false
retrieval,What do CBSE Class 10 students learn about pollution and the environment?,,"CBSE Class 10 covers le réchauffement de la planète, les usines polluantes, les voitures polluantes, l'énergie renouvelable, le recyclage and la protection de la nature.",EJ-10 §Je découvre:,must_cite_doc_id=CBSE_10_ENTREJEUNES;must_contain=pollu|environnement|recycl;should_refuse=false
retrieval,Explique le sens du poème 'L'Accent Grave' de Prévert dans CBSE Classe 10.,,L'Accent Grave de Jacques Prévert est étudié dans CBSE Classe 10. Le texte joue avec l'accent grave et reprend un vers de Hamlet ; il se met en scène à deux personnages.,EJ-10 §L'Accent Grave,must_cite_doc_id=CBSE_10_ENTREJEUNES;must_contain=Prévert|accent;should_refuse=false
retrieval,Quels sont les objectifs de l'Unité 1A 'Qui suis-je?' du manuel IB ?,,Objectifs de 1A : définir ce qui forme l'identité ; étudier les traits de caractère ; étudier/comparer différents styles de vie ; comprendre des informations factuelles ; lire et interpréter des représentations graphiques.,IB-Identités §1A IDENTITÉS : QUI SUIS-JE ? / Objectifs,must_cite_doc_id=IB_DP_OXFORD_IDENTITES;must_contain=identité|personnalité;should_refuse=false
retrieval,Que dit le manuel IB sur les droits universels (Unité 10A) ?,,"L'Unité 10A 'Droits universels' (Partage de la planète) aborde les droits humains, leur déclaration, les organisations internationales, et la place des droits dans la société moderne.",IB-Planète §10A,must_cite_doc_id=IB_DP_OXFORD_PARTAGE;must_contain=droit;should_refuse=false
retrieval,What is the topic of CBSE Class 9 Leçon 8 'Faire des achats' in Entre Jeunes?,,"Leçon 8 'Faire des achats' (Unit 3) — shopping vocabulary (boulangerie, épicerie, supermarché, centre commercial), expressing opinion, conditional of politeness, pronoun 'en', quantity expressions.",EJ-9 §Faire des achats,must_cite_doc_id=CBSE_9_ENTREJEUNES;must_contain=magasin|achat;should_refuse=false
retrieval,What grammar topics are covered in CBSE Class 9 Unit 1 according to the table des matières?,,"CBSE 9 Unit 1 (Leçons 1-3 'La famille', 'Au lycée', 'Une journée de Pauline') covers basic identity, school/family vocab, daily routine, simple verbs/tenses appropriate for A1 level.",EJ-9 §TABLE DES MATIERES,must_cite_doc_id=CBSE_9_ENTREJEUNES;must_contain=Leçon|Unité;should_refuse=false
