eval_context (category: retrieval|refusal|guard|edge — use to filter eval runs),input (question sent to /api/law/query),output (blank — filled by eval runner after hitting the API),expected_answer (ideal answer key points — use for LLM-judge comparison e.g. GPT-4o scores 1-5),expected_citations (section_refs that MUST appear in citations[] — pipe-separated; use for programmatic citation check),expected_assertions (machine-checkable flags — semicolon-separated; use for pass/fail without LLM judge)
retrieval,What is the punishment for murder under BNS 2023?,,BNS Section 103 prescribes punishment for murder as death or imprisonment for life along with a fine. The provision distinguishes between cases where a group of five or more persons commits murder on the basis of specified grounds.,BNS s.103,must_cite=BNS s.103;must_contain=death|imprisonment for life;should_refuse=false
retrieval,What are the fundamental rights guaranteed under the Constitution of India?,,Articles 12–35 of the Constitution enumerate fundamental rights including equality before law (Art. 14) freedom of speech (Art. 19) right to life and personal liberty (Art. 21) and constitutional remedies (Art. 32).,Art. 14|Art. 19|Art. 21|Art. 32,must_cite=Art. 14;must_cite=Art. 21;should_refuse=false
retrieval,What constitutes a valid contract under the Indian Contract Act 1872?,,Under Section 10 of the Contract Act a contract is valid when made by free consent of parties competent to contract for lawful consideration with a lawful object. Section 2 defines proposal acceptance and promise.,Contract Act s.10|Contract Act s.2,must_cite=Contract Act s.10;must_contain=competent|free consent;should_refuse=false
retrieval,What is the definition of consumer under the Consumer Protection Act 2019?,,Section 2 of the Consumer Protection Act 2019 defines a consumer as a person who buys goods or hires services for consideration but does not include a person who obtains goods for resale or commercial purpose.,CP s.2,must_cite=CP s.2;must_contain=consumer;should_refuse=false
retrieval,What are the grounds for processing personal data under the DPDP Act 2023?,,Section 4 of the DPDP Act 2023 specifies lawful grounds for processing personal data including consent of the data principal and certain legitimate uses specified by the central government.,DPDP s.4,must_cite=DPDP s.4;must_contain=processing|consent;should_refuse=false
retrieval,What is Article 21 of the Constitution of India?,,Article 21 provides that no person shall be deprived of his life or personal liberty except according to procedure established by law. It is one of the most expansively interpreted fundamental rights.,Art. 21,must_cite=Art. 21;must_contain=life and personal liberty;should_refuse=false
retrieval,What obligations does a Data Fiduciary have under the DPDP Act 2023?,,Section 8 of the DPDP Act 2023 places obligations on Data Fiduciaries including maintaining accuracy of data implementing security safeguards and erasing data when the purpose is fulfilled.,DPDP s.8,must_cite=DPDP s.8;must_contain=obligations|data fiduciary;should_refuse=false
retrieval,What does Section 73 of the Contract Act say about damages?,,Section 73 provides that when a contract is broken the party who suffers the breach is entitled to receive compensation for any loss or damage caused to him thereby which naturally arose in the usual course of things from the breach.,Contract Act s.73,must_cite=Contract Act s.73;must_contain=compensation|breach;should_refuse=false
retrieval,What is the punishment for rape under BNS 2023?,,Section 63 of the Bharatiya Nyaya Sanhita 2023 defines rape and Section 64 prescribes punishment of rigorous imprisonment for not less than 10 years extendable to life imprisonment along with fine.,BNS s.63,must_cite=BNS s.63;should_refuse=false
retrieval,What does BNSS 2023 say about bail in non-bailable offences?,,Section 480 of BNSS 2023 deals with bail in non-bailable offences and empowers the court to grant bail subject to certain conditions including whether there are reasonable grounds for believing the accused committed the offence.,BNSS s.480,must_cite=BNSS s.480;must_contain=bail;should_refuse=false
retrieval,What is Article 32 of the Constitution?,,Article 32 guarantees the right to move the Supreme Court for enforcement of fundamental rights and empowers the court to issue directions orders or writs including habeas corpus mandamus prohibition quo warranto and certiorari.,Art. 32,must_cite=Art. 32;must_contain=remedies|Supreme Court;should_refuse=false
